#{"t_start": 1701554250.8968382, "env_id": "None"}
r,l,t
-82.0,34,57.460978
-108.0,36,57.476978
-108.0,36,57.492978
-94.0,34,57.508979
-81.0,33,57.524977
-93.0,33,57.541978
-58.0,34,57.557979
-60.0,36,57.574982
-71.0,35,57.588992
-168.0,36,57.602978
-120.0,36,57.616976
-72.0,36,57.632
-71.0,35,57.646979
-84.0,36,57.660978
-95.0,35,57.676977
-119.0,35,57.693978
-108.0,36,57.710979
-117.0,33,57.725977
-108.0,36,57.739979
-119.0,35,57.756979
-192.0,36,57.772991
-132.0,36,57.788978
-108.0,36,57.803991
-5.0,29,57.814993
-192.0,36,57.829978
-144.0,36,57.845979
-144.0,36,57.862979
-96.0,36,57.879979
-120.0,36,57.895978
-108.0,36,57.912979
-96.0,36,57.929978
-95.0,35,57.943996
-95.0,35,57.957993
-58.0,34,57.971992
-83.0,35,57.985997
-120.0,36,58.000991
-132.0,36,58.015977
-46.0,34,58.029978
-120.0,36,58.045978
-156.0,36,58.060977
-120.0,36,58.075991
-119.0,35,58.089978
-108.0,36,58.105979
-59.0,35,58.12199
-104.0,32,58.134993
-45.0,33,58.147993
-143.0,35,58.162
-106.0,34,58.175993
-84.0,36,58.190997
-79.0,31,58.203978
-117.0,33,58.217996
-108.0,36,59.498979
-132.0,36,59.516993
-156.0,36,59.531978
-107.0,35,59.549979
-108.0,36,59.56898
-95.0,35,59.58798
-94.0,34,59.60698
-94.0,34,59.623979
-144.0,36,59.641979
-71.0,35,59.660977
-59.0,35,59.675993
-106.0,34,59.689978
-120.0,36,59.705993
-59.0,35,59.719992
-156.0,36,59.734978
-144.0,36,59.751978
-192.0,36,59.789992
-107.0,35,59.833982
-132.0,36,59.878984
-119.0,35,59.921991
-144.0,36,59.970986
-132.0,36,60.022983
-94.0,34,60.070981
-81.0,33,60.116985
-120.0,36,60.170985
-108.0,36,60.216253
-131.0,35,60.260981
-69.0,33,60.306983
-131.0,35,60.353984
-120.0,36,60.402985
-108.0,36,60.448982
-131.0,35,60.495983
-120.0,36,60.540985
-120.0,36,60.585983
-84.0,36,60.634982
-96.0,36,60.69798
-107.0,35,60.744981
-107.0,35,60.792984
-57.0,33,60.839981
-118.0,34,60.884984
-84.0,36,60.931983
-84.0,36,60.977983
-96.0,36,61.028984
-82.0,34,61.072984
-84.0,36,61.120981
-120.0,36,61.171984
-105.0,33,61.215985
-120.0,36,61.264985
-83.0,35,61.309983
-58.0,34,61.354981
-103.0,31,61.396986
-93.0,33,61.440984
-96.0,36,61.492985
-96.0,36,61.538983
-132.0,36,61.585986
-144.0,36,61.630984
-120.0,36,61.682984
-72.0,36,61.740982
-48.0,36,64.03599
-119.0,35,64.050992
-120.0,36,64.065978
-144.0,36,64.081979
-107.0,35,64.098017
-119.0,35,64.111978
-84.0,36,64.127978
-57.0,33,64.140979
-71.0,35,64.156004
-156.0,36,64.169995
-142.0,34,64.184993
-120.0,36,64.199978
-132.0,36,64.213979
-120.0,36,64.228976
-106.0,34,64.243015
-144.0,36,64.257979
-108.0,36,64.272977
-96.0,36,64.289979
-144.0,36,64.306978
-192.0,36,64.323979
-57.0,33,64.338979
-84.0,36,64.35501
-60.0,36,64.368993
-95.0,35,64.382978
-107.0,35,64.397977
-132.0,36,64.414991
-144.0,36,64.428977
-144.0,36,64.444979
-107.0,35,64.460978
-131.0,35,64.476979
-107.0,35,64.494977
-131.0,35,64.508978
-120.0,36,64.524978
-106.0,34,64.540979
-107.0,35,64.556979
-57.0,33,64.571979
-118.0,34,64.587978
-106.0,34,64.603978
-94.0,34,64.620979
-108.0,36,64.637979
-118.0,34,64.653979
-120.0,36,64.671979
-106.0,34,64.690979
-96.0,36,64.706979
-144.0,36,64.723979
-72.0,36,64.739979
-96.0,36,64.756978
-96.0,36,64.772979
-156.0,36,64.790981
-117.0,33,64.806978
-107.0,35,64.822991
-94.0,34,64.835977
-69.0,33,64.849977
-94.0,34,64.865979
-60.0,36,64.881979
-96.0,36,64.898979
-28.0,28,64.911979
-128.0,32,64.926979
-58.0,34,64.942978
-108.0,36,66.117983
-60.0,36,66.137993
-83.0,35,66.153977
-144.0,36,66.170978
-141.0,33,66.187978
-96.0,36,66.204993
-82.0,34,66.218977
-104.0,32,66.233992
-117.0,33,66.248991
-144.0,36,66.263982
-82.0,34,66.278977
-70.0,34,66.294001
-55.0,31,66.307996
-57.0,33,66.321993
-131.0,35,66.337978
-156.0,36,66.352977
-119.0,35,66.369978
-120.0,36,66.384979
-132.0,36,66.401044
-96.0,36,66.414978
-72.0,36,66.429977
-117.0,33,66.444017
-95.0,35,66.458979
-80.0,32,66.471977
-70.0,34,66.485992
-168.0,36,66.501979
-81.0,33,66.514994
-119.0,35,66.528979
-58.0,34,66.542993
-144.0,36,66.557998
-131.0,35,66.571994
-108.0,36,66.586978
-94.0,34,66.600993
-95.0,35,66.614993
-119.0,35,66.629994
-144.0,36,66.644977
-204.0,36,66.659977
-79.0,31,66.672978
-108.0,36,66.688979
-72.0,36,66.705979
-155.0,35,66.721979
-192.0,36,66.738992
-120.0,36,66.75399
-84.0,36,66.767991
-72.0,36,66.78299
-108.0,36,66.797995
-144.0,36,66.812977
-95.0,35,66.827978
-57.0,33,66.840978
-143.0,35,66.856979
-95.0,35,66.871979
-96.0,36,66.887994
-78.0,30,66.899979
-130.0,34,66.914992
-131.0,35,66.928998
-132.0,36,66.943992
-57.0,33,66.957977
-131.0,35,66.973016
-108.0,36,66.987995
-84.0,36,68.368977
-70.0,34,68.388978
-116.0,32,68.40598
-117.0,33,68.425978
-84.0,36,68.443991
-131.0,35,68.461979
-131.0,35,68.48098
-132.0,36,68.500979
-60.0,36,68.516976
-71.0,35,68.531976
-96.0,36,68.547977
-107.0,35,68.563978
-70.0,34,68.579976
-156.0,36,68.596976
-168.0,36,68.613979
-94.0,34,68.631976
-132.0,36,68.650979
-168.0,36,68.669976
-95.0,35,68.688978
-118.0,34,68.709978
-107.0,35,68.730978
-144.0,36,68.756979
-155.0,35,68.779978
-120.0,36,68.804979
-119.0,35,68.827981
-131.0,35,68.852981
-44.0,32,68.87298
-120.0,36,68.89598
-59.0,35,68.921979
-81.0,33,68.939982
-93.0,33,68.958979
-132.0,36,68.979984
-83.0,35,68.999979
-83.0,35,69.01798
-82.0,34,69.037008
-95.0,35,69.059002
-90.0,30,69.077
-108.0,36,69.095999
-60.0,36,69.115001
-94.0,34,69.137002
-95.0,35,69.16
-84.0,36,69.179
-55.0,31,69.193999
-70.0,34,69.210014
-95.0,35,69.227
-168.0,36,69.247003
-107.0,35,69.269002
-81.0,33,69.290002
-92.0,32,69.309
-84.0,36,69.337
-132.0,36,69.366004
-66.0,30,69.387001
-70.0,34,69.409002
-108.0,36,69.436999
-108.0,36,69.464999
-118.0,34,69.49
-120.0,36,69.518009
-82.0,34,69.549006
-107.0,35,69.600013
-132.0,36,74.359003
-107.0,35,74.408
-95.0,35,74.456003
-144.0,36,74.517003
-70.0,34,74.559
-68.0,32,74.596
-132.0,36,74.652002
-108.0,36,74.728002
-108.0,36,74.786002
-83.0,35,74.866006
-94.0,34,74.949001
-116.0,32,75.041003
-131.0,35,75.099005
-40.0,28,75.171006
-83.0,35,75.238001
-108.0,36,75.279
-96.0,36,75.325006
-95.0,35,75.372004
-95.0,35,75.415001
-168.0,36,75.468001
-144.0,36,75.532006
-119.0,35,75.597003
-107.0,35,75.658005
-94.0,34,75.722004
-144.0,36,75.778001
-119.0,35,75.831
-120.0,36,75.884001
-144.0,36,75.937002
-45.0,33,75.987006
-156.0,36,76.049005
-144.0,36,76.099002
-105.0,33,76.150006
-108.0,36,76.214
-60.0,36,76.264004
-95.0,35,76.308004
-155.0,35,76.352005
-84.0,36,76.401
-144.0,36,76.461002
-119.0,35,76.509001
-120.0,36,76.548001
-144.0,36,76.569001
-120.0,36,76.587001
-105.0,33,76.604005
-130.0,34,76.622001
-46.0,34,76.640999
-95.0,35,76.658999
-192.0,36,76.686999
-93.0,33,76.709
-108.0,36,76.727001
-107.0,35,76.744999
-70.0,34,76.762999
-96.0,36,76.783001
-120.0,36,76.803002
-120.0,36,76.823001
-71.0,35,76.841999
-108.0,36,76.859999
-144.0,36,76.878999
-156.0,36,76.908001
-96.0,36,78.574
-156.0,36,78.600001
-132.0,36,78.623003
-106.0,34,78.641
-144.0,36,78.659998
-57.0,33,78.675998
-95.0,35,78.691998
-57.0,33,78.707999
-59.0,35,78.723999
-96.0,36,78.740999
-95.0,35,78.758999
-108.0,36,78.803002
-41.0,29,78.839001
-94.0,34,78.891003
-108.0,36,78.945004
-108.0,36,78.996007
-106.0,34,79.057001
-84.0,36,79.095
-96.0,36,79.116999
-117.0,33,79.134999
-95.0,35,79.151999
-132.0,36,79.168
-83.0,35,79.184999
-23.0,35,79.205
-144.0,36,79.225
-96.0,36,79.244003
-144.0,36,79.264
-119.0,35,79.282
-119.0,35,79.299999
-143.0,35,79.320001
-131.0,35,79.343005
-69.0,33,79.364001
-69.0,33,79.382999
-107.0,35,79.401999
-94.0,34,79.420001
-96.0,36,79.438002
-96.0,36,79.454999
-144.0,36,79.475999
-67.0,31,79.495001
-156.0,36,79.519002
-156.0,36,79.543999
-108.0,36,79.570001
-120.0,36,79.595999
-132.0,36,79.616999
-57.0,33,79.637
-107.0,35,79.654999
-108.0,36,79.673999
-94.0,34,79.692999
-84.0,36,79.717
-132.0,36,79.736999
-108.0,36,79.755999
-156.0,36,79.773999
-120.0,36,79.791999
-144.0,36,79.811002
-108.0,36,79.833
-119.0,35,79.851
-144.0,36,79.870002
-82.0,34,79.889
-156.0,36,81.598001
-107.0,35,81.619006
-55.0,31,81.635001
-84.0,36,81.655001
-82.0,34,81.672003
-119.0,35,81.691001
-131.0,35,81.708
-143.0,35,81.727
-180.0,36,81.745001
-168.0,36,81.763999
-93.0,33,81.781999
-119.0,35,81.801999
-156.0,36,81.820999
-142.0,34,81.836999
-142.0,34,81.853002
-59.0,35,81.869034
-45.0,33,81.887005
-132.0,36,81.908
-105.0,33,81.927001
-94.0,34,81.947002
-82.0,34,81.967
-107.0,35,81.986001
-167.0,35,82.004
-82.0,34,82.024
-83.0,35,82.046002
-56.0,32,82.064
-107.0,35,82.084
-84.0,36,82.105
-132.0,36,82.125002
-156.0,36,82.148003
-108.0,36,82.174001
-108.0,36,82.198001
-132.0,36,82.219021
-106.0,34,82.237002
-119.0,35,82.256002
-103.0,31,82.274002
-95.0,35,82.294002
-66.0,30,82.312
-54.0,30,82.326999
-95.0,35,82.346001
-155.0,35,82.373
-142.0,34,82.397001
-156.0,36,82.421999
-119.0,35,82.447002
-119.0,35,82.468001
-129.0,33,82.488001
-144.0,36,82.510002
-132.0,36,82.531006
-107.0,35,82.557001
-106.0,34,82.580006
-156.0,36,82.602006
-132.0,36,82.624008
-156.0,36,82.645007
-108.0,36,82.667003
-131.0,35,82.692
-166.0,34,82.720004
-84.0,36,82.740017
-95.0,35,82.763006
-70.0,34,82.785003
-70.0,34,82.804003
-144.0,36,85.918002
-92.0,32,85.935002
-44.0,32,85.952002
-69.0,33,85.97
-106.0,34,85.987998
-107.0,35,86.003999
-120.0,36,86.019999
-84.0,36,86.034998
-120.0,36,86.050998
-120.0,36,86.069001
-143.0,35,86.088001
-144.0,36,86.108
-132.0,36,86.125998
-168.0,36,86.140999
-108.0,36,86.158001
-91.0,31,86.174
-168.0,36,86.190999
-44.0,32,86.205998
-81.0,33,86.224001
-108.0,36,86.244999
-144.0,36,86.265
-168.0,36,86.287001
-72.0,36,86.309001
-120.0,36,86.332001
-95.0,35,86.354002
-96.0,36,86.372999
-56.0,32,86.388999
-60.0,36,86.405998
-57.0,33,86.423002
-108.0,36,86.445001
-58.0,34,86.464
-96.0,36,86.485001
-120.0,36,86.507002
-95.0,35,86.528998
-132.0,36,86.549
-95.0,35,86.569001
-106.0,34,86.588998
-120.0,36,86.609999
-69.0,33,86.628
-131.0,35,86.647
-108.0,36,86.666001
-130.0,34,86.684001
-131.0,35,86.702998
-96.0,36,86.721144
-120.0,36,86.739
-168.0,36,86.758998
-107.0,35,86.778002
-95.0,35,86.796
-82.0,34,86.815001
-70.0,34,86.832001
-108.0,36,86.848999
-120.0,36,86.866
-84.0,36,86.882999
-82.0,34,86.901026
-72.0,36,86.918998
-93.0,33,86.934999
-84.0,36,86.953
-120.0,36,86.973001
-107.0,35,88.870001
-106.0,34,88.892002
-144.0,36,88.913002
-94.0,34,88.933
-72.0,36,88.952019
-107.0,35,88.968
-108.0,36,88.985519
-107.0,35,89.00151
-84.0,36,89.018509
-47.0,35,89.036511
-78.0,30,89.050511
-132.0,36,89.069512
-56.0,32,89.090511
-119.0,35,89.112512
-108.0,36,89.134511
-59.0,35,89.154512
-180.0,36,89.173514
-96.0,36,89.19151
-59.0,35,89.207509
-96.0,36,89.224509
-107.0,35,89.24151
-144.0,36,89.259512
-143.0,35,89.27851
-144.0,36,89.29651
-116.0,32,89.312511
-107.0,35,89.329509
-96.0,36,89.346512
-44.0,32,89.364511
-82.0,34,89.381512
-83.0,35,89.398509
-71.0,35,89.41451
-107.0,35,89.431509
-108.0,36,89.44851
-120.0,36,89.466512
-95.0,35,89.48751
-106.0,34,89.504512
-71.0,35,89.52351
-131.0,35,89.541509
-34.0,34,89.557509
-130.0,34,89.572509
-45.0,33,89.588509
-70.0,34,89.603509
-132.0,36,89.620509
-142.0,34,89.638509
-180.0,36,89.656509
-71.0,35,89.67251
-131.0,35,89.689509
-144.0,36,89.707509
-108.0,36,89.724509
-142.0,34,89.740509
-60.0,36,89.757509
-96.0,36,89.775509
-96.0,36,89.792509
-132.0,36,89.809509
-107.0,35,89.825509
-131.0,35,89.841509
-82.0,34,89.85751
-93.0,33,89.872511
-143.0,35,89.891511
-144.0,36,92.494025
-58.0,34,92.514027
-93.0,33,92.535028
-144.0,36,92.557026
-35.0,35,92.576028
-84.0,36,92.599024
-168.0,36,92.61804
-131.0,35,92.634027
-70.0,34,92.650025
-47.0,35,92.664025
-155.0,35,92.681024
-107.0,35,92.704027
-144.0,36,92.72504
-96.0,36,92.744027
-84.0,36,92.764024
-81.0,33,92.780024
-156.0,36,92.795026
-94.0,34,92.811025
-192.0,36,92.829044
-132.0,36,92.845024
-72.0,36,92.860026
-132.0,36,92.875038
-144.0,36,92.890026
-34.0,34,92.908038
-120.0,36,92.923038
-118.0,34,92.938039
-119.0,35,92.953027
-9.0,33,92.969028
-120.0,36,92.987042
-118.0,34,93.005025
-106.0,34,93.022027
-168.0,36,93.04004
-132.0,36,93.057041
-56.0,32,93.072039
-192.0,36,93.089025
-81.0,33,93.105027
-119.0,35,93.125028
-56.0,32,93.159027
-106.0,34,93.193029
-130.0,34,93.217031
-84.0,36,93.24103
-84.0,36,93.263029
-165.0,33,93.290026
-180.0,36,93.312032
-92.0,32,93.331029
-144.0,36,93.353032
-131.0,35,93.376031
-143.0,35,93.39903
-71.0,35,93.424027
-142.0,34,93.448028
-108.0,36,93.479031
-167.0,35,93.503036
-144.0,36,93.528026
-117.0,33,93.550027
-95.0,35,93.570028
-144.0,36,93.590027
-48.0,36,93.608026
-155.0,35,93.626026
-70.0,34,93.645025
-168.0,36,96.28004
-45.0,33,96.294039
-144.0,36,96.309025
-120.0,36,96.326026
-72.0,36,96.34104
-70.0,34,96.355025
-69.0,33,96.369026
-83.0,35,96.383024
-120.0,36,96.398026
-144.0,36,96.416025
-132.0,36,96.434038
-92.0,32,96.447039
-106.0,34,96.462029
-107.0,35,96.477029
-105.0,33,96.494031
-96.0,36,96.512031
-82.0,34,96.52907
-8.0,32,96.542026
-69.0,33,96.557027
-83.0,35,96.574027
-84.0,36,96.591027
-180.0,36,96.608026
-144.0,36,96.62404
-95.0,35,96.638026
-107.0,35,96.656027
-83.0,35,96.674026
-131.0,35,96.690039
-132.0,36,96.705048
-144.0,36,96.724045
-143.0,35,96.740045
-94.0,34,96.756027
-84.0,36,96.773027
-132.0,36,96.792026
-95.0,35,96.811039
-108.0,36,96.826039
-130.0,34,96.840038
-94.0,34,96.854041
-107.0,35,96.870039
-143.0,35,96.885058
-84.0,36,96.900051
-120.0,36,96.915041
-120.0,36,96.931042
-132.0,36,96.946025
-108.0,36,96.96105
-60.0,36,96.977026
-94.0,34,96.992043
-80.0,32,97.005042
-84.0,36,97.021025
-69.0,33,97.035026
-84.0,36,97.051027
-83.0,35,97.066064
-96.0,36,97.08104
-96.0,36,97.096024
-120.0,36,97.111026
-84.0,36,97.126025
-108.0,36,97.144027
-46.0,34,97.159038
-82.0,34,97.172038
-92.0,32,98.514025
-94.0,34,98.529025
-84.0,36,98.548027
-82.0,34,98.566027
-131.0,35,98.584026
-108.0,36,98.60004
-58.0,34,98.614039
-56.0,32,98.627026
-120.0,36,98.644025
-142.0,34,98.661026
-69.0,33,98.679026
-55.0,31,98.695026
-92.0,32,98.710027
-132.0,36,98.726039
-120.0,36,98.741025
-120.0,36,98.761025
-191.0,35,98.778025
-72.0,36,98.794025
-96.0,36,98.809024
-142.0,34,98.823026
-83.0,35,98.837025
-168.0,36,98.855026
-107.0,35,98.871025
-94.0,34,98.886027
-120.0,36,98.901026
-107.0,35,98.917026
-84.0,36,98.933027
-72.0,36,98.947026
-96.0,36,98.962044
-70.0,34,98.977027
-96.0,36,98.992038
-156.0,36,99.007025
-132.0,36,99.023039
-68.0,32,99.036025
-84.0,36,99.053026
-28.0,28,99.066027
-108.0,36,99.083039
-72.0,36,99.098024
-120.0,36,99.113026
-84.0,36,99.128024
-96.0,36,99.142026
-144.0,36,99.158027
-46.0,34,99.175025
-143.0,35,99.190026
-107.0,35,99.205027
-132.0,36,99.223026
-143.0,35,99.239026
-72.0,36,99.256027
-156.0,36,99.275038
-106.0,34,99.289024
-119.0,35,99.303024
-84.0,36,99.318026
-132.0,36,99.333046
-71.0,35,99.347044
-6.0,30,99.359038
-131.0,35,99.373039
-143.0,35,99.388026
-106.0,34,99.40204
-60.0,36,99.417026
-143.0,35,100.70804
-95.0,35,100.723041
-156.0,36,100.739026
-143.0,35,100.75404
-84.0,36,100.770027
-156.0,36,100.790044
-105.0,33,100.806026
-132.0,36,100.823041
-119.0,35,100.838026
-82.0,34,100.854027
-107.0,35,100.872027
-33.0,33,100.890027
-95.0,35,100.908041
-131.0,35,100.923024
-72.0,36,100.937026
-117.0,33,100.952027
-143.0,35,100.971025
-119.0,35,100.989027
-96.0,36,101.00704
-72.0,36,101.022026
-144.0,36,101.03804
-108.0,36,101.052047
-82.0,34,101.066024
-84.0,36,101.082026
-156.0,36,101.100024
-94.0,34,101.114025
-94.0,34,101.130039
-72.0,36,101.144025
-94.0,34,101.159041
-143.0,35,101.174023
-191.0,35,101.189039
-106.0,34,101.203024
-156.0,36,101.219041
-131.0,35,101.235041
-108.0,36,101.251024
-107.0,35,101.266026
-119.0,35,101.281025
-95.0,35,101.297026
-108.0,36,101.315031
