#{"t_start": 1701554250.8968382, "env_id": "None"}
r,l,t
-120.0,36,10.693984
-156.0,36,10.707984
-131.0,35,10.725983
-156.0,36,10.741984
-144.0,36,10.758006
-84.0,36,10.773002
-131.0,35,10.788985
-103.0,31,10.802984
-120.0,36,10.819983
-108.0,36,10.836983
-94.0,34,10.850984
-95.0,35,12.195984
-96.0,36,12.211982
-106.0,34,12.226026
-33.0,33,12.240985
-81.0,33,12.255985
-107.0,35,12.273989
-119.0,35,12.290983
-130.0,34,12.308985
-43.0,31,12.324985
-94.0,34,12.342985
-108.0,36,12.360985
-117.0,33,12.376985
-93.0,33,12.392998
-132.0,36,12.407999
-96.0,36,12.422983
-106.0,34,12.437984
-129.0,33,12.452983
-120.0,36,12.469985
-108.0,36,12.487984
-191.0,35,12.502996
-132.0,36,12.518997
-120.0,36,12.533997
-132.0,36,12.550015
-144.0,36,12.565006
-156.0,36,12.579984
-83.0,35,12.594983
-120.0,36,12.609983
-132.0,36,12.624998
-83.0,35,12.639984
-168.0,36,12.656
-96.0,36,12.670983
-132.0,36,12.686983
-104.0,32,12.700984
-94.0,34,12.718983
-21.0,33,12.733983
-108.0,36,12.749983
-120.0,36,12.768005
-108.0,36,12.783983
-192.0,36,12.798984
-83.0,35,12.813985
-156.0,36,12.828984
-108.0,36,12.845984
-82.0,34,12.859998
-35.0,35,12.874982
-154.0,34,12.888997
-96.0,36,12.904985
-119.0,35,12.919983
-60.0,36,12.937999
-45.0,33,12.951997
-70.0,34,12.965984
-22.0,34,12.980985
-82.0,34,12.994983
-168.0,36,13.01
-83.0,35,13.024984
-132.0,36,13.041985
-71.0,35,13.058983
-131.0,35,13.073998
-144.0,36,13.088982
-131.0,35,13.103985
-83.0,35,14.400996
-71.0,35,14.415983
-57.0,33,14.430984
-82.0,34,14.445983
-81.0,33,14.461984
-119.0,35,14.477983
-155.0,35,14.494983
-95.0,35,14.510984
17.0,31,14.524983
-83.0,35,14.542
-84.0,36,14.556998
-132.0,36,14.571984
-120.0,36,14.588984
-107.0,35,14.605998
-120.0,36,14.620984
-108.0,36,14.636983
-9.0,33,14.649983
-96.0,36,14.665985
-57.0,33,14.679988
8.0,28,14.690996
-34.0,34,14.704983
-144.0,36,14.721984
-45.0,33,14.736984
-72.0,36,14.752999
-108.0,36,14.768984
-56.0,32,14.783984
-132.0,36,14.800984
-70.0,34,14.816983
-46.0,34,14.832003
-94.0,34,14.845983
-96.0,36,14.859998
-96.0,36,14.875002
-84.0,36,14.888999
-60.0,36,14.904984
-60.0,36,14.920984
-96.0,36,14.936982
-96.0,36,14.950998
-108.0,36,14.966006
-60.0,36,14.981985
-108.0,36,14.996984
-156.0,36,15.011983
-71.0,35,15.026
-56.0,32,15.04
-131.0,35,15.054983
-82.0,34,15.068007
-108.0,36,15.084077
-107.0,35,15.100025
-120.0,36,15.114983
-120.0,36,15.129984
-144.0,36,15.144983
-95.0,35,15.159998
-80.0,32,15.172984
-120.0,36,15.187984
-27.0,27,15.200983
-106.0,34,15.216983
-120.0,36,15.231984
-120.0,36,15.246991
-144.0,36,15.262985
-47.0,35,15.278984
-107.0,35,16.704985
-108.0,36,16.724985
-107.0,35,16.743983
-120.0,36,16.761985
-132.0,36,16.780986
-96.0,36,16.799983
-130.0,34,16.820985
-30.0,30,16.835985
-82.0,34,16.853983
-144.0,36,16.870983
-120.0,36,16.886984
-96.0,36,16.902984
-156.0,36,16.917984
-71.0,35,16.934985
-72.0,36,16.952983
-132.0,36,16.969998
-24.0,36,16.984996
-29.0,29,16.997985
-93.0,33,17.014988
-118.0,34,17.031983
-83.0,35,17.047982
-144.0,36,17.063984
-81.0,33,17.078983
-105.0,33,17.094983
-82.0,34,17.113985
-83.0,35,17.131985
-143.0,35,17.148984
-119.0,35,17.164984
-120.0,36,17.183984
-132.0,36,17.200984
-58.0,34,17.218984
-120.0,36,17.253983
-144.0,36,17.274985
-106.0,34,17.293984
-82.0,34,17.317989
-72.0,36,17.337987
-93.0,33,17.355983
-58.0,34,17.371984
-44.0,32,17.389985
-84.0,36,17.408985
-95.0,35,17.429983
-96.0,36,17.448985
-84.0,36,17.466985
-84.0,36,17.485984
-58.0,34,17.502984
-131.0,35,17.521985
-120.0,36,17.542986
-120.0,36,17.562984
-105.0,33,17.582984
-107.0,35,17.601005
-70.0,34,17.615983
-108.0,36,17.630984
-96.0,36,17.647985
-96.0,36,17.663983
-108.0,36,17.682983
-130.0,34,17.699983
-108.0,36,17.719983
-108.0,36,17.736001
-84.0,36,17.752985
-71.0,35,19.104984
-120.0,36,19.122996
-108.0,36,19.138983
-96.0,36,19.159984
-96.0,36,19.179985
-70.0,34,19.197985
-43.0,31,19.213985
-144.0,36,19.232985
-82.0,34,19.251985
-117.0,33,19.268984
-156.0,36,19.287982
-144.0,36,19.306985
-132.0,36,19.325982
-132.0,36,19.343984
-70.0,34,19.360985
-82.0,34,19.379985
-90.0,30,19.397985
-180.0,36,19.417985
-60.0,36,19.439984
-132.0,36,19.473984
-59.0,35,19.505988
-96.0,36,19.528988
-96.0,36,19.559983
-34.0,34,19.579985
-71.0,35,19.59999
-95.0,35,19.618984
-131.0,35,19.638985
-144.0,36,19.659984
-58.0,34,19.675985
-144.0,36,19.693985
-96.0,36,19.713984
-96.0,36,19.732982
-83.0,35,19.747983
-96.0,36,19.761983
-118.0,34,19.775983
-81.0,33,19.789984
-84.0,36,19.806984
-71.0,35,19.825984
-204.0,36,19.844984
-95.0,35,19.861984
-32.0,32,19.877983
-68.0,32,19.892985
-107.0,35,19.909984
-84.0,36,19.927985
-168.0,36,19.945984
-11.0,35,19.962983
-72.0,36,19.979983
-156.0,36,19.997984
-106.0,34,20.013984
-132.0,36,20.030983
-96.0,36,20.048984
-119.0,35,20.065984
-131.0,35,20.081985
-156.0,36,20.098984
-144.0,36,20.115984
-120.0,36,20.132985
-96.0,36,20.150983
-168.0,36,20.168985
-120.0,36,21.635537
-59.0,35,21.657536
-21.0,33,21.676536
-108.0,36,21.700535
-93.0,33,21.718534
-82.0,34,21.736533
-108.0,36,21.754553
-96.0,36,21.771533
-143.0,35,21.788533
-132.0,36,21.806536
-108.0,36,21.828536
-132.0,36,21.850536
-72.0,36,21.870552
-107.0,35,21.886534
-129.0,33,21.900548
-132.0,36,21.916535
-94.0,34,21.932573
-143.0,35,21.947536
-120.0,36,21.962534
-70.0,34,21.975536
-84.0,36,21.991553
-108.0,36,22.006534
-119.0,35,22.022535
-143.0,35,22.038535
-18.0,30,22.052549
-95.0,35,22.066534
-94.0,34,22.081534
-96.0,36,22.098549
-72.0,36,22.113534
-107.0,35,22.127535
-156.0,36,22.142534
-95.0,35,22.159534
-58.0,34,22.176536
-95.0,35,22.194536
-144.0,36,22.216536
-192.0,36,22.237535
-118.0,34,22.255534
-84.0,36,22.27155
-120.0,36,22.286535
-192.0,36,22.304536
-156.0,36,22.325536
-58.0,34,22.342536
-107.0,35,22.361536
-131.0,35,22.378535
-106.0,34,22.395534
-95.0,35,22.409534
-60.0,36,22.423549
-59.0,35,22.438535
-143.0,35,22.453549
-81.0,33,22.467535
-83.0,35,22.483535
-84.0,36,22.501535
-154.0,34,22.517534
-71.0,35,22.535536
-120.0,36,22.552534
-132.0,36,22.567554
-58.0,34,22.580534
-72.0,36,22.596536
-95.0,35,25.580535
-131.0,35,25.596535
-82.0,34,25.613535
-84.0,36,25.628535
-120.0,36,25.642535
-83.0,35,25.658535
-156.0,36,25.676535
-120.0,36,25.694535
-96.0,36,25.712536
-132.0,36,25.729555
-120.0,36,25.743549
-59.0,35,25.758549
-144.0,36,25.773551
-83.0,35,25.787534
-143.0,35,25.802535
-144.0,36,25.817539
-93.0,33,25.833535
-107.0,35,25.848535
-120.0,36,25.86355
-117.0,33,25.876535
-43.0,31,25.889535
-144.0,36,25.905535
-106.0,34,25.923535
-107.0,35,25.951536
-72.0,36,25.995539
-143.0,35,26.022534
-59.0,35,26.040539
-83.0,35,26.059539
-33.0,33,26.076541
-69.0,33,26.095536
-144.0,36,26.116536
-33.0,33,26.133534
-107.0,35,26.152536
-23.0,35,26.169561
-84.0,36,26.187536
-71.0,35,26.219536
-168.0,36,26.238535
-81.0,33,26.255536
-108.0,36,26.275537
-130.0,34,26.293536
-104.0,32,26.311535
-106.0,34,26.330536
-180.0,36,26.352553
-72.0,36,26.370534
-95.0,35,26.388536
-120.0,36,26.407536
-120.0,36,26.426536
-84.0,36,26.444535
-33.0,33,26.460533
-118.0,34,26.476534
-83.0,35,26.491535
-71.0,35,26.507536
-108.0,36,26.525549
-143.0,35,26.540549
-108.0,36,26.555534
-70.0,34,26.569535
-95.0,35,26.586534
-107.0,35,26.605536
-103.0,31,26.623535
-59.0,35,27.877535
-84.0,36,27.895535
-83.0,35,27.910549
-168.0,36,27.925535
-120.0,36,27.943535
-84.0,36,27.961534
-107.0,35,27.975533
-58.0,34,27.989549
-71.0,35,28.003535
-36.0,36,28.018549
-108.0,36,28.034535
-156.0,36,28.049535
-144.0,36,28.066533
-82.0,34,28.082533
-108.0,36,28.097535
-180.0,36,28.115534
-45.0,33,28.132535
-32.0,32,28.149536
-60.0,36,28.165558
-120.0,36,28.180534
-79.0,31,28.193547
-96.0,36,28.208549
-84.0,36,28.223535
-144.0,36,28.239535
-83.0,35,28.257535
-80.0,32,28.273535
-120.0,36,28.291549
-108.0,36,28.306535
-57.0,33,28.321548
-120.0,36,28.335553
-120.0,36,28.350549
-132.0,36,28.366535
-167.0,35,28.380553
-132.0,36,28.396534
-71.0,35,28.411534
-70.0,34,28.425551
-108.0,36,28.440551
-120.0,36,28.455534
-96.0,36,28.471809
-59.0,35,28.486788
-59.0,35,28.500788
-106.0,34,28.516788
-108.0,36,28.533787
-59.0,35,28.551789
-132.0,36,28.569789
-131.0,35,28.587787
-108.0,36,28.605788
-117.0,33,28.621787
-132.0,36,28.639788
-68.0,32,28.657788
-120.0,36,28.675789
-95.0,35,28.693785
-96.0,36,28.710799
-80.0,32,28.723785
-119.0,35,28.737786
-92.0,32,28.752788
-144.0,36,28.771788
7.0,29,28.786788
-118.0,34,28.804789
-132.0,36,30.232787
-70.0,34,30.247803
-96.0,36,30.265788
-82.0,34,30.283789
-54.0,30,30.299788
-36.0,36,30.318788
-46.0,34,30.335787
-144.0,36,30.353787
-108.0,36,30.370786
-132.0,36,30.388789
-70.0,34,30.406789
-132.0,36,30.423786
-118.0,34,30.437785
-46.0,34,30.453811
-94.0,34,30.469788
-132.0,36,30.488788
-180.0,36,30.505788
-108.0,36,30.522788
-84.0,36,30.540787
-58.0,34,30.558785
-144.0,36,30.576786
-120.0,36,30.593788
-83.0,35,30.611789
-144.0,36,30.631787
-132.0,36,30.651788
-95.0,35,30.668787
-96.0,36,30.687787
-120.0,36,30.704788
-47.0,35,30.722789
-96.0,36,30.741785
-108.0,36,30.759788
-96.0,36,30.776788
-70.0,34,30.794785
-144.0,36,30.811785
-168.0,36,30.828789
-33.0,33,30.8438
-131.0,35,30.858785
-120.0,36,30.873785
-46.0,34,30.888785
-131.0,35,30.904788
-156.0,36,30.921785
-72.0,36,30.938787
-84.0,36,30.956788
-96.0,36,30.975786
-131.0,35,30.991788
-144.0,36,31.006788
-156.0,36,31.022785
-58.0,34,31.040788
-117.0,33,31.057788
-108.0,36,31.075787
-106.0,34,31.093785
-120.0,36,31.109801
-83.0,35,31.124787
-120.0,36,31.140788
-95.0,35,31.157785
-143.0,35,31.173785
-120.0,36,31.188787
-144.0,36,31.206788
-168.0,36,32.679785
-94.0,34,32.695785
-83.0,35,32.710799
-131.0,35,32.726785
-96.0,36,32.742785
-105.0,33,32.757785
-107.0,35,32.772785
-120.0,36,32.788786
-96.0,36,32.805787
-120.0,36,32.823788
-108.0,36,32.842785
-120.0,36,32.860785
-108.0,36,32.876788
-84.0,36,32.893787
-108.0,36,32.912788
-59.0,35,32.930788
-106.0,34,32.947788
-131.0,35,32.964788
-107.0,35,32.983788
-108.0,36,33.000787
-96.0,36,33.019788
-5.0,29,33.033788
-60.0,36,33.051787
-132.0,36,33.070803
-144.0,36,33.085788
-59.0,35,33.102786
-120.0,36,33.117786
-94.0,34,33.133788
-156.0,36,33.152789
-106.0,34,33.168789
-119.0,35,33.183803
-56.0,32,33.197786
-94.0,34,33.213787
-106.0,34,33.228789
-83.0,35,33.245788
-120.0,36,33.264788
-83.0,35,33.283789
-106.0,34,33.303787
-82.0,34,33.321785
-95.0,35,33.341788
-156.0,36,33.363787
-36.0,36,33.38379
-108.0,36,33.403788
-105.0,33,33.420789
-31.0,31,33.437789
-72.0,36,33.455789
-119.0,35,33.473789
-120.0,36,33.493787
-84.0,36,33.514811
-57.0,33,33.531793
-96.0,36,33.556788
-105.0,33,33.578792
-168.0,36,33.599787
-132.0,36,33.620788
-107.0,35,33.639788
-108.0,36,33.658789
-83.0,35,33.677789
-83.0,35,33.695788
-95.0,35,35.237956
-106.0,34,35.25594
-108.0,36,35.274941
-180.0,36,35.292978
-66.0,30,35.305954
-81.0,33,35.320952
-118.0,34,35.33694
-142.0,34,35.353938
-180.0,36,35.37194
-108.0,36,35.390979
-84.0,36,35.406958
-30.0,30,35.418962
-42.0,30,35.43194
-82.0,34,35.446941
-82.0,34,35.461939
-132.0,36,35.477941
-119.0,35,35.49398
-132.0,36,35.509938
-130.0,34,35.524989
-132.0,36,35.539958
-167.0,35,35.555987
-105.0,33,35.56994
-132.0,36,35.585954
-60.0,36,35.601939
-131.0,35,35.617943
-120.0,36,35.633961
-96.0,36,35.64896
-132.0,36,35.66394
-156.0,36,35.680939
-130.0,34,35.694939
-144.0,36,35.70994
-106.0,34,35.725939
-144.0,36,35.740939
-96.0,36,35.757954
-130.0,34,35.77194
-143.0,35,35.786955
-180.0,36,35.801952
-106.0,34,35.815954
-95.0,35,35.830954
-142.0,34,35.84594
-96.0,36,35.862941
-81.0,33,35.87994
-83.0,35,35.896939
-106.0,34,35.912941
-192.0,36,35.93094
-119.0,35,35.94794
-132.0,36,35.96494
-72.0,36,35.999946
-108.0,36,36.043945
-72.0,36,36.100946
-144.0,36,36.149942
-96.0,36,36.211941
-95.0,35,36.269946
-106.0,34,36.315942
-119.0,35,36.366943
-33.0,33,36.408946
-155.0,35,36.472943
-132.0,36,36.593941
-180.0,36,36.724946
-144.0,36,41.517941
-48.0,36,41.534955
-96.0,36,41.548938
-119.0,35,41.562939
-108.0,36,41.578939
-155.0,35,41.592954
-120.0,36,41.607939
-120.0,36,41.623939
-44.0,32,41.63694
-96.0,36,41.652941
-144.0,36,41.669955
-83.0,35,41.684952
-118.0,34,41.698939
-95.0,35,41.71294
-71.0,35,41.72794
-117.0,33,41.741939
-108.0,36,41.756939
-103.0,31,41.770941
-144.0,36,41.787954
-141.0,33,41.800939
-96.0,36,41.815939
-108.0,36,41.829937
-72.0,36,41.844939
-72.0,36,41.860958
-144.0,36,41.875956
-108.0,36,41.890956
-59.0,35,41.90594
-144.0,36,41.920986
-132.0,36,41.934958
-82.0,34,41.948939
-144.0,36,41.96494
-128.0,32,41.979939
-118.0,34,41.994939
-132.0,36,42.008953
-107.0,35,42.023939
-79.0,31,42.037939
-118.0,34,42.053937
-60.0,36,42.068954
-107.0,35,42.08394
-119.0,35,42.09894
-132.0,36,42.113958
-132.0,36,42.12894
-72.0,36,42.14394
-132.0,36,42.15894
-141.0,33,42.17294
-107.0,35,42.187952
-55.0,31,42.20094
-107.0,35,42.21594
-95.0,35,42.24194
-81.0,33,42.273938
-107.0,35,42.296938
-156.0,36,42.314939
-96.0,36,42.33194
-131.0,35,42.348939
-108.0,36,42.366939
-131.0,35,42.383938
-66.0,30,42.398293
-144.0,36,42.41496
-82.0,34,42.430977
-84.0,36,44.537979
-180.0,36,44.560976
-120.0,36,44.583978
-82.0,34,44.603984
-80.0,32,44.621979
-132.0,36,44.640979
-155.0,35,44.66098
-96.0,36,44.681978
-108.0,36,44.70398
-96.0,36,44.724986
-143.0,35,44.74698
-96.0,36,44.771982
-168.0,36,44.798979
-96.0,36,44.824981
-69.0,33,44.84798
-120.0,36,44.874979
-92.0,32,44.894979
-96.0,36,44.916981
-143.0,35,44.938979
-72.0,36,44.96298
-96.0,36,44.98298
-107.0,35,45.000983
-143.0,35,45.019979
-108.0,36,45.037994
-96.0,36,45.053993
-118.0,34,45.068999
-95.0,35,45.085995
-119.0,35,45.102021
-93.0,33,45.118994
-132.0,36,45.135978
-93.0,33,45.154982
-45.0,33,45.17298
-142.0,34,45.191049
-132.0,36,45.207992
-106.0,34,45.222978
-108.0,36,45.239978
-96.0,36,45.259993
-144.0,36,45.276993
-131.0,35,45.291992
-96.0,36,45.311977
-83.0,35,45.328979
-83.0,35,45.346978
-140.0,32,45.362979
-32.0,32,45.384978
-144.0,36,45.408991
-71.0,35,45.424977
-83.0,35,45.440993
-144.0,36,45.458992
-60.0,36,45.474993
-84.0,36,45.490979
-107.0,35,45.508979
-96.0,36,45.528979
-96.0,36,45.546977
-117.0,33,45.565979
-131.0,35,45.585979
-132.0,36,45.605979
-92.0,32,45.626977
-144.0,36,45.646979
-119.0,35,47.075979
-143.0,35,47.094979
-132.0,36,47.115978
-144.0,36,47.134979
-180.0,36,47.15198
-107.0,35,47.170978
-95.0,35,47.189978
-57.0,33,47.207979
-144.0,36,47.224992
-117.0,33,47.239979
-127.0,31,47.254993
-156.0,36,47.270978
-108.0,36,47.288979
-96.0,36,47.307993
-57.0,33,47.322991
-132.0,36,47.338979
-108.0,36,47.359993
-131.0,35,47.37698
-96.0,36,47.393979
-106.0,34,47.412977
-60.0,36,47.430976
-156.0,36,47.446979
-108.0,36,47.463976
-32.0,32,47.479979
-156.0,36,47.496978
-106.0,34,47.510993
-95.0,35,47.525978
-95.0,35,47.540977
-106.0,34,47.556982
-120.0,36,47.573995
-108.0,36,47.588993
-82.0,34,47.603993
-106.0,34,47.618979
-81.0,33,47.634978
-120.0,36,47.650977
-132.0,36,47.668978
-132.0,36,47.68799
-120.0,36,47.703992
-204.0,36,47.718995
-143.0,35,47.733976
-106.0,34,47.748979
-132.0,36,47.769977
-108.0,36,47.803978
-94.0,34,47.827976
-132.0,36,47.847976
-71.0,35,47.867981
-68.0,32,47.889977
-106.0,34,47.907977
-66.0,30,47.925979
-129.0,33,47.946978
-82.0,34,47.966976
-96.0,36,47.985979
-105.0,33,48.001979
-106.0,34,48.019978
-34.0,34,48.039981
-119.0,35,48.06498
-119.0,35,48.085982
-93.0,33,48.10698
-55.0,31,48.126983
-46.0,34,49.617978
-69.0,33,49.633978
-120.0,36,49.650977
-107.0,35,49.668978
-107.0,35,49.685978
-83.0,35,49.704979
-156.0,36,49.722977
-180.0,36,49.742979
-144.0,36,49.764976
-156.0,36,49.785979
-106.0,34,49.803979
-131.0,35,49.821977
-130.0,34,49.838992
-95.0,35,49.854979
-142.0,34,49.87298
-93.0,33,49.889977
-46.0,34,49.907978
-83.0,35,49.92698
-96.0,36,49.944979
-142.0,34,49.961978
-59.0,35,49.979979
-108.0,36,49.996978
-130.0,34,50.011979
-58.0,34,50.027979
-82.0,34,50.044979
-94.0,34,50.05999
-46.0,34,50.073993
-108.0,36,50.088978
-108.0,36,50.107979
-119.0,35,50.125979
-106.0,34,50.143977
-108.0,36,50.162979
-105.0,33,50.179979
-84.0,36,50.197978
-82.0,34,50.21598
-30.0,30,50.23198
-70.0,34,50.24998
-93.0,33,50.265979
-120.0,36,50.282994
-108.0,36,50.297979
-131.0,35,50.311978
-71.0,35,50.325977
-106.0,34,50.33999
-84.0,36,50.354991
-106.0,34,50.369992
-131.0,35,50.385978
-107.0,35,50.401991
-180.0,36,50.417977
-120.0,36,50.432979
-129.0,33,50.448978
-108.0,36,50.462979
-119.0,35,50.476979
-32.0,32,50.491977
-60.0,36,50.509995
-95.0,35,50.524994
-108.0,36,50.540992
-144.0,36,50.556979
-106.0,34,50.572979
-108.0,36,50.591978
-132.0,36,54.667981
-119.0,35,54.707993
-108.0,36,54.749984
-108.0,36,54.793981
-59.0,35,54.835003
-119.0,35,54.889986
-132.0,36,54.94598
-168.0,36,55.006983
-82.0,34,55.048982
-108.0,36,55.086983
-108.0,36,55.130985
-132.0,36,55.180982
-108.0,36,55.221984
-69.0,33,55.26198
-96.0,36,55.300985
-48.0,36,55.34398
-107.0,35,55.383984
-142.0,34,55.425982
-58.0,34,55.484982
-95.0,35,55.524984
-144.0,36,55.548978
-84.0,36,55.562978
-143.0,35,55.577979
-120.0,36,55.592978
-167.0,35,55.607978
-155.0,35,55.622978
-144.0,36,55.638992
-60.0,36,55.65398
-72.0,36,55.669992
-132.0,36,55.684979
-96.0,36,55.701977
-84.0,36,55.717996
-132.0,36,55.733979
-83.0,35,55.750977
-131.0,35,55.766977
-120.0,36,55.785979
-83.0,35,55.800978
-120.0,36,55.815995
-131.0,35,55.830977
-118.0,34,55.844979
-80.0,32,55.858995
-132.0,36,55.872978
-144.0,36,55.88999
-96.0,36,55.904994
-33.0,33,55.917979
-144.0,36,55.935977
-119.0,35,55.948991
-120.0,36,55.963999
-131.0,35,55.978977
-95.0,35,55.993992
-95.0,35,56.008978
-180.0,36,56.022978
-58.0,34,56.038979
-84.0,36,56.054976
-83.0,35,56.06998
-83.0,35,56.084978
-120.0,36,56.102979
-108.0,36,56.117996
-119.0,35,57.341993
-95.0,35,57.35599
-154.0,34,57.369994
-69.0,33,57.384978
-120.0,36,57.400994
-108.0,36,57.415995
-84.0,36,57.431001
-94.0,34,57.445976
